branch,lineage,stage,artifact_count,run_count,syntax_ok_true,syntax_ok_false,syntax_ok_unknown,realizable_true,realizable_false,realizable_unknown,well_separated_true,well_separated_false,well_separated_unknown,distance_count,distance_mean,distance_median,distance_min,distance_max,bounded_semantic_distance_count,bounded_semantic_distance_mean,bounded_semantic_distance_median,bounded_semantic_distance_min,bounded_semantic_distance_max
core,core,00_initial,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
core,core,01_after_syntax_repair,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
core,core,03_after_well_separation_repair,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
core,core,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_challenger,00_initial,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_challenger,03_after_well_separation_repair,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_challenger,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_incumbent,00_from_core,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_incumbent,04_after_broker_repair,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
cross_repair,cross_incumbent,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
independent_test,independent_test,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
no_test,no_test,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
self_test,self_test,00_from_core,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
self_test,self_test,04_after_self_test_repair,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
self_test,self_test,final,1,1,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0,,,,
